Core_ID,Core_section_depth,Est_year
PS-1,0-2,2004
PS-1,2 to 4,2003
PS-1,4 to 6,2002
PS-1,6 to 8,2001
PS-1,8 to 10,1999
PS-1,10 to 12,1998
PS-1,12 to 14,1996
PS-1,14-16,1995
PS-1,16-18,1993
PS-1,18-20,1991
PS-1,20-22,1990
PS-1,22-24,1988
PS-1,24-26,1987
PS-1,26-28,1985
PS-1,28-30,1984
PS-1,30-32,1982
PS-1,32-34,1981
PS-1,34-36,1979
PS-1,36-38,1977
PS-1,38-40,1976
PS-1,40-42,1974
PS-1,42-44,1972
PS-1,44-46,1971
PS-1,46-48,1969
PS-1,48-50,1967
PS-1,50-52,1965
PS-1,52-54,1964
PS-1,54-56,1962
PS-1,56-58,1960
PS-1,58-60,1959
PS-1,60-65,1956
PS-1,65-70,1952
PS-1,70-75,1948
PS-1,75-80,1943
PS-1,80-85,1939
PS-1,85-90,1934
PS-1,90-95,1929
PS-1,95-100,1925
PS-1,100-105,1920
PS-1,105-110,1915
PS-1,110-115,1910
PS-1,115-120,1906
PS-1,120-125,1901
PS-1,125-130,1896
PS-1,130-135,1891
PS-1,135-140,1886
PS-1,140-145,1881
PS-1,145-150,1876
PS-1,150-155,1871
PS-1,155-160,1867
PS-1,160-165,1862
PS-1,165-170,1858
PS-1,170-175,1853
PS-1,175-180,1849
PS-1,180-185,1844
PS-1,185-190,1840
PS-1,190-195,1836
PS-1,195-200,1831
PS-1,200-205,1827
PS-1,205-210,1822
PS-1,210-215,1817
PS-1,215-220,1813
PS-1,220-225,1808
PS-1,225-230,1803
PS-1,230-235,1798
PS-1,235-240,1793
PS-1,240-245,1788
PS-1,245-250,1784
PS-1,250-255,1779
PS-1,255-260,1774
PS-4,0-2,2005
PS-4,2 to 4,2004
PS-4,4 to 6,2003
PS-4,6 to 8,2003
PS-4,8 to 10,2002
PS-4,10 to 12,2001
PS-4,12 to 14,2000
PS-4,14-16,1999
PS-4,16-18,1998
PS-4,18-20,1997
PS-4,20-22,1996
PS-4,22-24,1995
PS-4,24-26,1995
PS-4,26-28,1994
PS-4,28-30,1993
PS-4,30-32,1992
PS-4,32-34,1991
PS-4,34-36,1990
PS-4,36-38,1989
PS-4,38-40,1988
PS-4,40-42,1987
PS-4,42-44,1986
PS-4,44-46,1985
PS-4,46-48,1984
PS-4,48-50,1983
PS-4,50-55,1982
PS-4,55-60,1979
PS-4,60-65,1977
PS-4,65-70,1974
PS-4,70-75,1972
PS-4,75-80,1969
PS-4,80-85,1967
PS-4,85-90,1964
PS-4,90-95,1962
PS-4,95-100,1959
PS-4,100-105,1957
PS-4,105-110,1954
PS-4,110-115,1952
PS-4,115-120,1949
PS-4,120-125,1947
PS-4,125-130,1944
PS-4,130-135,1942
PS-4,135-140,1939
PS-4,140-145,1937
PS-4,145-150,1934
PS-4,150-155,1931
PS-4,155-160,1928
PS-4,160-165,1926
PS-4,165-170,1923
PS-4,170-175,1921
PS-4,175-180,1918
PS-4,180-185,1915
PS-4,185-190,1913
PS-4,190-195,1910
PS-4,195-200,1907
PS-4,200-205,1904
PS-4,205-210,1902
PS-4,210-215,1899
PS-4,215-220,1896
