Core_ID,Core_section,Sig8_lignin,Lamb8,Bd/V_soil_biomarker
PS-1,0-2,0.5,2.16,0.04
PS-1,4 to 6,0.53,2.26,0.04
PS-1,8 to 10,0.55,2.37,0.03
PS-1,14-16,0.57,2.45,0.03
PS-1,16-18,0.61,2.58,0.03
PS-1,18-20,0.58,2.55,0.03
PS-1,22-24,0.59,2.58,0.04
PS-1,24-26,0.6,2.65,0.03
PS-1,28-30,0.59,2.58,0.03
PS-1,32-34,0.61,2.76,0.03
PS-1,36-38,0.67,2.84,0.03
PS-1,40-42,0.67,2.98,0.03
PS-1,50-52,0.68,2.94,0.02
PS-1,54-56,0.79,3.32,0.02
PS-1,56-58,0.82,3.54,0.02
PS-1,58-60,0.82,3.52,0.02
PS-1,60-65,0.79,3.52,0.02
PS-1,65-70,0.73,3.21,0.02
PS-1,70-75,0.74,3.32,0.02
PS-1,80-85,0.72,3.15,0.02
PS-1,85-90,0.68,3.08,0.03
PS-1,95-100,0.59,2.63,0.03
PS-1,100-105,0.53,2.47,0.03
PS-1,105-110,0.47,2.32,0.03
PS-1,115-120,0.41,1.86,0.04
PS-1,130-135,0.43,2.1,0.04
PS-1,135-140,0.33,1.76,0.05
PS-1,140-145,0.28,1.58,0.05
PS-1,155-160,0.27,1.52,0.05
PS-1,165-170,0.25,1.49,0.05
PS-1,185-190,0.26,1.52,0.05
PS-1,205-210,0.23,1.43,0.06
PS-1,220-225,0.22,1.38,0.05
PS-1,230-235,0.24,1.46,0.06
PS-1,255-260,0.25,1.58,0.06
PS-4,0-2,0.5,2.37,0.04
PS-4,6 to 8,0.49,2.24,0.04
PS-4,12 to 14,0.5,2.28,0.04
PS-4,16-18,0.57,2.61,0.04
PS-4,20-22,0.54,2.49,0.04
PS-4,24-26,0.54,2.57,0.04
PS-4,26-28,0.53,2.49,0.04
PS-4,30-32,0.56,2.66,0.04
PS-4,36-38,0.54,2.55,0.04
PS-4,40-42,0.55,2.6,0.04
PS-4,44-46,0.55,2.6,0.04
PS-4,50-55,0.56,2.73,0.04
PS-4,65-70,0.62,2.98,0.03
PS-4,75-80,0.61,2.88,0.03
PS-4,95-100,0.74,3.45,0.03
PS-4,110-115,0.74,3.69,0.03
PS-4,125-130,0.72,3.8,0.03
PS-4,130-135,0.72,3.8,0.03
PS-4,135-140,0.62,3.27,0.03
PS-4,145-150,0.6,3.18,0.03
PS-4,150-155,0.61,2.83,0.03
PS-4,155-160,0.6,2.8,0.03
PS-4,160-165,0.6,2.73,0.03
PS-4,165-170,0.58,2.61,0.03
PS-4,175-180,0.51,2.53,0.04
PS-4,180-185,0.42,2.24,0.05
PS-4,200-205,0.43,2.42,0.04
PS-4,215-220,0.38,2.28,0.05
