psite_type,tim_code,psite_code,label
acanthocephalan,corynosoma_sp_cp,ACA-CP-COR,
acanthocephalan,corynosoma_sp_sc,ACA-SC-COR,Acanthocephala
acanthocephalan,echinorhynchus_sp_sc,ACA-SC-ECH,
acanthocephalan,echinorhynchus_gadi_all,ACA-HP-ECH,
acanthocephalan,acanth_corn_pv,ACA-PV-SP1,
cestode,cest_sp1_mp,CES-MP-SP1,
cestode,cest_sp2_mp,CES-MP-SP2,
cestode,cest_unkn_mp_hake,CES-MP-SP3,
cestode,clestobothrium_crassiceps_all,CES-MP-CLE,
cestode,nybelinia_surmenicola_all,CES-MP-NYB,
cestode,cest_sp1_cp,CES-CP-SP1,
cestode,cest_sp3_cp,CES-CP-SP2,
cestode,cest_sp1_tc,CES-GC-SP1,
cestode,cest_sp2_tc,CES-GC-SP2,
cestode,cest_sp3_tc,CES-GC-SP3,
cestode,gyrocotyle_sp_hc,CES-HC-GYR,Cestoda
cestode,cest_cysticerci_hp,CES-HP-SP1,
copepod,cope_brach_mp,COP-MP-PAR,
copepod,cope_mcp_mp,COP-MP-SP1,
copepod,cope_a_cp,COP-CP-BOM,
copepod,cope_h_cp,COP-CP-SP1,
copepod,cope_bom_el,COP-EL-BOM,
copepod,cope_clav_el,COP-EL-CLA,
copepod,cope_sp1_tc,COP-GC-LEL,
copepod,cope_sp2_tc,COP-GC-SP1,Copepoda
copepod,cope_sp4_tc,COP-GC-LEA,
copepod,cope_fs_sc,COP-SC-CLA,
copepod,cope_una_sc,COP-SC-SP1,
copepod,cope_thb_sc,COP-SC-LER,
copepod,cope_sp1_hp,COP-HP-LEP,
copepod,cope_chalimis_pv,COP-PV-LEP,
leech,oceanobdella_pallida_all,HIR-PV-OCE,Hirudinea
monogenean,anthocotyle_merlucci_all,MON-MP-ANT,Monogenea
monogenean,mono_pistho_cp,MON-CP-GYR,
monogenean,chimaericola_sp_hc,MON-HC-CHI,
monogenean,microcotyle_sp_sc,MON-SC-MI1,
monogenean,microcotyle_sp2_sc,MON-SC-MI2,
nematode,ascarophis_sp2_mp,NEM-MP-ASC,
nematode,nem_unkn_all_hake,NEM-MP-SP1,
nematode,nem_unkn_all_herring,NEM-CP-SP1,
nematode,cucullanellus_kanabus_all,NEM-EL-CUC,
nematode,ascarophis_sp_tc,NEM-GC-ASC,
nematode,nem_unkn_all_pollock,NEM-GC-SP1,
nematode,ascarophis_sebastodis_all,NEM-SC-ASC,
nematode,anisakis_sp_all,NEM-SE-ANI,
nematode,contracaecum_sp_all,NEM-SE-CON,
nematode,nem_unkn_all_smelt,NEM-HP-SP1,
nematode,capillaria_parophrysi_all,NEM-PV-CAP,Nematoda
nematode,clavinema_mariae_all,NEM-PV-CLA,
nematode,cucullanus_annulatus_all,NEM-PV-CUC,
nematode,nem_unkn_all_sole,NEM-PV-SP1,
nematode,spirurid_sp1_pv,NEM-PV-SPR,
trematode,aporocotyle_margolisi_all,TRE-MP-APO,Trematoda
trematode,lecithaster_sp_mp,TRE-MP-LEC,
trematode,metacercaria_sp1_mp,TRE-MP-MET,
trematode,podocotyle_sp1_mp,TRE-MP-POD,
trematode,trem_unkn_mp_hake,TRE-MP-SP1,
trematode,hemiurid_sp_all,TRE-CP-HEM,
trematode,lecithaster_sp_all,TRE-CP-LEC,
trematode,metacercaria_sp1_cp,TRE-CP-ME1,
trematode,metacercaria_sp2_cp,TRE-CP-ME2,
trematode,pronoprymna_sp1_all,TRE-CP-PRO,
trematode,trem_unkn_all_herring,TRE-CP-SP1,
trematode,metacacercariasp2_el,TRE-EL-MET,
trematode,hemiuridae_sp_tc,TRE-GC-HEM,
trematode,lecithaster_sp_tc,TRE-GC-LEC,
trematode,lepidapedon_sp_tc,TRE-GC-LEP,
trematode,metacercaria_sp1_tc,TRE-GC-ME1,
trematode,metacercaria_sp2_tc,TRE-GC-ME2,
trematode,podocotyle_sp3_rc,TRE-GC-POD,
trematode,trem_unkn_tc_pollock,TRE-GC-SP1,
trematode,gonocerca_sp_hc,TRE-HC-GON,
trematode,lecithochirium_sp_sc,TRE-SC-LEC,
trematode,metacercaria_sp1_sc,TRE-SC-MET,
trematode,opechona_sp_sc,TRE-SC-OPE,
trematode,trem_sp1_sc,TRE-SC-SP1,
trematode,trem_sp3_sc,TRE-SC-SP2,
trematode,derogenes_varicus_all,TRE-SE-DER,
trematode,pronoprymna_petrowi_all,TRE-SE-PRO,
trematode,lecithaster_sp_hp,TRE-HP-LEC,
trematode,metacercaria_sp2_hp,TRE-HP-MET,
trematode,cyst_os_pv,TRE-PV-ME1,
trematode,metacercaria_sp_pv,TRE-PV-ME2,
trematode,trem_sp1_pv,TRE-PV-SP1,
trematode,trem_sp3_pv,TRE-PV-SP2,
