"","Catalog.Number","Fish.ID","Family.Species","lat","long","Year.Collected"
"1","FMNH 52280","FMNH 52280_01","Clupea palasii ",48.600556,-122.961944,1900
"2","FMNH 52280","FMNH 52280_02","Clupea palasii ",48.600556,-122.961944,1900
"3","FMNH 52280","FMNH 52280_03","Clupea palasii ",48.600556,-122.961944,1900
"4","FMNH 52280","FMNH 52280_04","Clupea palasii ",48.600556,-122.961944,1900
"5","FMNH 52280","FMNH 52280_05","Clupea palasii ",48.600556,-122.961944,1900
"6","FMNH 52280","FMNH 52280_06","Clupea palasii ",48.600556,-122.961944,1900
"7","FMNH 52280","FMNH 52280_07","Clupea palasii ",48.600556,-122.961944,1900
"8","FMNH 52280","FMNH 52280_08","Clupea palasii ",48.600556,-122.961944,1900
"9","FMNH 52280","FMNH 52280_09","Clupea palasii ",48.600556,-122.961944,1900
"10","FMNH 52280","FMNH 52280_10","Clupea palasii ",48.600556,-122.961944,1900
"11","UW 000817","UW 000817_01","Clupea palasii pallasii",47.58291,-122.4509,1929
"12","UW 000817","UW 000817_02","Clupea palasii pallasii",47.58291,-122.4509,1929
"13","UW 000817","UW 000817_03","Clupea palasii pallasii",47.58291,-122.4509,1929
"14","UW 000817","UW 000817_04","Clupea palasii pallasii",47.58291,-122.4509,1929
"15","UW 000817","UW 000817_05","Clupea palasii pallasii",47.58291,-122.4509,1929
"16","UW 000742","UW 000742_01","Clupea palasii pallasii",48.6330603,-122.87028,1929
"17","UW 000742","UW 000742_02","Clupea palasii pallasii",48.09012,-122.7601,1929
"18","UW 000742","UW 000742_03","Clupea palasii pallasii",48.6330603,-122.87028,1929
"19","UW 000583","UW 000583_01","Clupea palasii pallasii",48.54748,-122.9941,1929
"20","UW 000568","UW 000568_01","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"21","UW 000568","UW 000568_02","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"22","UW 000568","UW 000568_03","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"23","UW 000568","UW 000568_04","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"24","UW 000568","UW 000568_05","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"25","UW 000656","UW 000656_01","Clupea palasii pallasii",47.58291,-122.4509,1930
"26","UW 001170","UW 001170_01","Clupea palasii pallasii",48.54748,-122.9941,1930
"27","UW 001170","UW 001170_02","Clupea palasii pallasii",48.54748,-122.9941,1930
"28","UW 002294","UW 002294_01","Clupea palasii pallasii",48.09012,-122.7601,1932
"29","UW 002947","UW 002947_01","Clupea palasii pallasii",48.61004072,-123.1543022,1933
"30","UW 002947","UW 002947_02","Clupea palasii pallasii",48.61004072,-123.1543022,1933
"31","UW 005105","UW 005105_01","Clupea palasii pallasii",48.25888483,-122.485225,1935
"32","UW 005105","UW 005105_02","Clupea palasii pallasii",48.25888483,-122.485225,1935
"33","UW 004669","UW 004669_01","Clupea palasii pallasii",47.28910758,-122.453718,1938
"34","UW 004669","UW 004669_02","Clupea palasii pallasii",47.28910758,-122.453718,1938
"35","UW 005633","UW 005633_01","Clupea palasii pallasii",NA,NA,1938
"36","UW 014963","UW 014963_01","Clupea palasii pallasii",47.607778,-122.426389,1939
"37","UW 014963","UW 014963_02","Clupea palasii pallasii",47.607778,-122.426389,1939
"38","UW 014963","UW 014963_03","Clupea palasii pallasii",47.607778,-122.426389,1939
"39","UW 005470","UW 005470_01","Clupea palasii pallasii",47.79898,-122.436,1946
"40","UW 005470","UW 005470_02","Clupea palasii pallasii",47.79898,-122.436,1946
"41","UW 005470","UW 005470_03","Clupea palasii pallasii",47.79898,-122.436,1946
"42","UW 005470","UW 005470_04","Clupea palasii pallasii",47.79898,-122.436,1946
