para.spc,para.spc.short.code
corynosoma_sp_cp,ACA-CP-COR
corynosoma_sp_sc,ACA-SC-COR
echinorhynchus_sp_sc,ACA-SC-ECH
echinorhynchus_sp_sc,ACA-HP-ECH
acanth_corn_pv,ACA-PV-SP1
cest_sp1_mp,CES-MP-SP1
cest_sp2_mp,CES-MP-SP2
cest_unkn_mp_hake,CES-MP-SP3
clestobothrium_crassiceps_all,CES-MP-CLE
nybelinia_surmenicola_all,CES-MP-NYB
cest_sp1_cp,CES-CP-SP1
cest_sp3_cp,CES-CP-SP2
cest_sp1_tc,CES-GC-SP1
cest_sp2_tc,CES-GC-SP2
cest_sp3_tc,CES-GC-SP3
gyrocotyle_sp_hc,CES-HC-GYR
cest_cysticerci_hp,CES-HP-SP1
cope_brach_mp,COP-MP-PAR
cope_mcp_mp,COP-MP-SP1
cope_a_cp,COP-CP-BOM
cope_h_cp,COP-CP-SP1
cope_bom_el,COP-EL-BOM
cope_clav_el,COP-EL-CLA
cope_sp1_tc,COP-GC-LEL
cope_sp2_tc,COP-GC-SP1
cope_sp4_tc,COP-GC-LEA
cope_fs_sc,COP-SC-CLA
cope_una_sc,COP-SC-SP1
cope_thb_sc,COP-SC-LER
cope_sp1_hp,COP-HP-LEP
cope_chalimis_pv,COP-PV-LEP
oceanobdella_pallida_all,HIR-PV-OCE
anthocotyle_merlucci_all,MON-MP-ANT
mono_pistho_cp,MON-CP-GYR
chimaericola_sp_hc,MON-HC-CHI
microcotyle_sp_sc,MON-SC-MI1
microcotyle_sp2_sc,MON-SC-MI2
ascarophis_sp2_mp,NEM-MP-ASC
nem_unkn_all_hake,NEM-MP-SP1
nem_unkn_all_herring,NEM-CP-SP1
cucullanellus_kanabus_all,NEM-EL-CUC
ascarophis_sp_tc,NEM-GC-ASC
nem_unkn_all_pollock,NEM-GC-SP1
ascarophis_sebastodis_all,NEM-SC-ASC
anisakis_sp_all,NEM-SE-ANI
contracaecum_sp_all,NEM-SE-CON
nem_unkn_all_smelt,NEM-HP-SP1
capillaria_parophrysi_all,NEM-PV-CAP
clavinema_mariae_all,NEM-PV-CLA
cucullanus_annulatus_all,NEM-PV-CUC
nem_unkn_all_sole,NEM-PV-SP1
spirurid_sp1_pv,NEM-PV-SPR
aporocotyle_margolisi_all,TRE-MP-APO
lecithaster_sp_mp,TRE-MP-LEC
metacercaria_sp1_mp,TRE-MP-MET
podocotyle_sp1_mp,TRE-MP-POD
trem_unkn_mp_hake,TRE-MP-SP1
hemiurid_sp_all,TRE-CP-HEM
lecithaster_sp_all,TRE-CP-LEC
metacercaria_sp1_cp,TRE-CP-ME1
metacercaria_sp2_cp,TRE-CP-ME2
pronoprymna_sp1_all,TRE-CP-PRO
trem_unkn_all_herring,TRE-CP-SP1
metacacercariasp2_el,TRE-EL-MET
hemiuridae_sp_tc,TRE-GC-HEM
lecithaster_sp_tc,TRE-GC-LEC
lepidapedon_sp_tc,TRE-GC-LEP
metacercaria_sp1_tc,TRE-GC-ME1
metacercaria_sp2_tc,TRE-GC-ME2
podocotyle_sp3_rc,TRE-GC-POD
trem_unkn_tc_pollock,TRE-GC-SP1
gonocerca_sp_hc,TRE-HC-GON
lecithochirium_sp_sc,TRE-SC-LEC
metacercaria_sp1_sc,TRE-SC-MET
opechona_sp_sc,TRE-SC-OPE
trem_sp1_sc,TRE-SC-SP1
trem_sp3_sc,TRE-SC-SP2
derogenes_varicus_all,TRE-SE-DER
pronoprymna_petrowi_all,TRE-SE-PRO
lecithaster_sp_hp,TRE-HP-LEC
metacercaria_sp2_hp,TRE-HP-MET
cyst_os_pv,TRE-PV-ME1
metacercaria_sp_pv,TRE-PV-ME2
trem_sp1_pv,TRE-PV-SP1
trem_sp3_pv,TRE-PV-SP2
